GEOID,median_hh_income,total_population,pop_25_54,share_25_54
25025000101,135156.0,1734,875,0.5046136101499423
25025000102,84044.0,3979,1869,0.4697160090474994
25025000201,111477.0,4375,2506,0.5728
25025000202,84792.0,3892,1646,0.42291880781089414
25025000301,133051.0,2719,1310,0.4817947774917249
25025000302,115500.0,3231,1720,0.5323429278861034
25025000401,74686.0,4898,2763,0.5641077991016742
25025000402,110147.0,3795,1719,0.45296442687747035
25025000502,88125.0,5382,1487,0.2762913415087328
25025000503,86250.0,2099,1248,0.5945688423058599
25025000505,58785.0,2117,947,0.4473311289560699
25025000506,74286.0,2513,1250,0.4974134500596896
25025000601,105956.0,4000,1616,0.404
25025000603,24450.0,1650,436,0.2642424242424242
25025000604,52155.0,2347,900,0.3834682573498083
25025000701,78110.0,4349,2969,0.6826856748677858
25025000703,44891.0,1701,785,0.46149323927101704
25025000704,80067.0,4192,2516,0.6001908396946565
25025000804,100938.0,3224,1473,0.45688585607940446
25025000805,69556.0,3095,1315,0.42487883683360256
25025000806,74591.0,2390,1389,0.5811715481171548
25025000807,,3079,44,0.014290354011042547
25025010103,39886.0,3397,409,0.12040035325287018
25025010104,63594.0,4791,1290,0.26925485284909206
25025010204,58438.0,3354,757,0.22570065593321406
25025010205,72105.0,4036,2729,0.6761645193260654
25025010206,64141.0,2218,1279,0.5766456266907124
25025010300,69861.0,4769,324,0.06793877123086602
25025010403,36928.0,2665,1000,0.37523452157598497
25025010404,34931.0,4585,610,0.13304252998909488
25025010405,20000.0,5921,503,0.08495186623881101
25025010408,75372.0,1349,758,0.5618977020014826
25025010500,54020.0,3330,1263,0.3792792792792793
25025010600,98472.0,3174,1349,0.4250157529930687
25025010701,143077.0,2314,1062,0.4589455488331893
25025010702,160057.0,2084,728,0.3493282149712092
25025010801,160000.0,2730,1058,0.38754578754578756
25025010802,146797.0,3316,1542,0.4650180940892642
25025020101,186477.0,4041,1508,0.37317495669388767
25025020200,111622.0,3132,1861,0.5941890166028098
25025020301,106593.0,2356,1363,0.5785229202037352
25025020302,129792.0,1031,623,0.6042677012609118
25025020304,185350.0,1200,803,0.6691666666666667
25025020305,114211.0,3950,1680,0.4253164556962025
25025030100,103500.0,2188,1071,0.48948811700182815
25025030200,109626.0,1591,1141,0.7171590194846009
25025030301,126979.0,1478,468,0.3166441136671177
25025030302,137778.0,2377,977,0.41102229701304166
25025030400,107333.0,3842,1918,0.49921915668922434
25025030500,119795.0,2235,1015,0.4541387024608501
25025040100,162443.0,2591,1023,0.39482825164029334
25025040200,112750.0,1679,567,0.3377010125074449
25025040300,172075.0,4803,2151,0.4478450968144909
25025040401,134821.0,2872,1093,0.38057103064066855
25025040600,155054.0,3758,2107,0.5606705694518361
25025040801,88319.0,4129,1439,0.3485105352385566
25025050101,72344.0,5304,1855,0.34973604826546
25025050200,81964.0,5400,2306,0.42703703703703705
25025050300,70295.0,3515,1364,0.38805120910384067
25025050400,79667.0,2072,845,0.4078185328185328
25025050500,105625.0,2134,1101,0.5159325210871603
25025050600,83571.0,2584,1200,0.46439628482972134
25025050700,82712.0,4906,1819,0.3707704851202609
25025050901,91250.0,4530,1991,0.439514348785872
25025051000,88533.0,4971,2199,0.4423657211828606
25025051101,76750.0,6754,2484,0.367782055078472
25025051200,130795.0,3164,1947,0.6153603034134008
25025060101,146737.0,3587,1856,0.5174240312238639
25025060200,166750.0,2282,1410,0.6178790534618755
25025060301,172171.0,3786,2165,0.5718436344426836
25025060400,188333.0,5071,2968,0.5852888976533228
25025060501,175612.0,4305,2232,0.5184668989547039
25025060601,159464.0,1830,1243,0.6792349726775956
25025060602,112346.0,416,291,0.6995192307692307
25025060603,183125.0,1241,922,0.7429492344883158
25025060604,212217.0,2772,1427,0.5147907647907648
25025060700,22552.0,1908,489,0.2562893081761006
25025060800,173333.0,4328,2767,0.6393253234750462
25025061000,85931.0,2860,1266,0.44265734265734263
25025061101,19221.0,2295,723,0.3150326797385621
25025061201,89375.0,1609,673,0.418272218769422
25025061202,,0,0,
25025061203,237188.0,2314,1271,0.5492653414001729
25025061204,158691.0,918,299,0.32570806100217864
