GEOID,total_population,median_hh_income,total_stops,has_rapid_transit,total_pois,pillar1_transit,pillar2_demographics,pillar3_poi_density,cvi_score,demand_score,supply_score,gap_score
25025000101,1734,135156.0,0,0,7,0.0,0.40345175281687773,0.8938684177618246,48.6,0.20172587640843886,0.3802887108056127,-27.7
25025000102,3979,84044.0,1,0,52,0.1211094519492599,0.3986787790426458,0.4991636030173696,36.6,0.25989411549595287,0.7260878284209794,-72.3
25025000201,4375,111477.0,0,0,9,0.0,0.4878019587759395,0.9682358245560237,56.6,0.24390097938796976,0.4210972508645534,-27.5
25025000202,3892,84792.0,0,0,16,0.0,0.38100270799572095,0.8781195891376959,46.7,0.19050135399786047,0.5181386581216462,-50.8
25025000301,2719,133051.0,0,0,9,0.0,0.4287108211091641,0.9682358245560237,53.4,0.21435541055458204,0.4210972508645534,-32.0
25025000302,3231,115500.0,0,0,10,0.0,0.4384645178051327,1.0,55.4,0.21923225890256634,0.43852759679058395,-34.0
25025000401,4898,74686.0,1,0,10,0.1211094519492599,0.4499422982461337,1.0,62.6,0.2855258750976968,0.43852759679058395,-23.7
25025000402,3795,110147.0,0,0,16,0.0,0.4247293889703981,0.8781195891376959,49.0,0.21236469448519904,0.5181386581216462,-47.4
25025000502,5382,88125.0,11,1,28,0.8341728437209874,0.3914173137747176,0.7001250683061035,84.1,0.6127950787478526,0.6158117765850774,-0.5
25025000503,2099,86250.0,6,1,4,0.7399972160374537,0.37490685671857965,0.7372295595693685,79.9,0.5574520363780167,0.2943343472626825,40.8
25025000505,2117,58785.0,4,1,3,0.6812074390373977,0.2861321040348154,0.6628621527751695,68.4,0.4836697715361066,0.2535258072037418,35.7
25025000506,2513,74286.0,2,1,9,0.5919539398224677,0.34005711466329397,0.9682358245560237,80.7,0.4660055272428808,0.4210972508645534,7.0
25025000601,4000,105956.0,0,0,21,0.0,0.40973400129670584,0.7921924711818822,44.2,0.20486700064835292,0.5652905003924549,-55.9
25025000603,1650,24450.0,2,0,8,0.1919539398224677,0.15760810381771942,0.9331221576728652,47.5,0.17478102182009356,0.4018288973829924,-35.2
25025000604,2347,52155.0,0,0,19,0.0,0.26349973895963036,0.8239566466258585,37.8,0.13174986947981518,0.5478601544664242,-64.5
25025000701,4349,78110.0,5,1,16,0.7130633917717275,0.4744573107032375,0.8781195891376959,90.3,0.5937603512374825,0.5181386581216462,11.7
25025000703,1701,44891.0,6,1,82,0.7399972160374537,0.255252855543967,0.34967506518857505,55.4,0.4976250357907104,0.8081185088939562,-48.1
25025000704,4192,80067.0,6,1,70,0.7399972160374537,0.4441029395197928,0.40171900067746036,68.0,0.5920500777786233,0.7795598012856553,-29.1
25025000804,3224,100938.0,0,0,64,0.0,0.39166157947749,0.43114441850312435,26.5,0.195830789738745,0.7634128305379361,-88.0
25025000805,3095,69556.0,1,0,102,0.1211094519492599,0.3301757191053442,0.27772560075078234,22.6,0.22564258552730204,0.8476002217611853,-96.4
25025000806,2390,74591.0,0,0,8,0.0,0.36393439999565147,0.9331221576728652,48.3,0.18196719999782573,0.4018288973829924,-34.1
