GEOID,median_hh_income,total_population,pop_25_54,share_25_54,total_stops,stops_subway,stops_light_rail,stops_bus,has_rapid_transit,total_pois,pois_retail,pois_food_beverage,pois_services,pois_office
25025000101,135156.0,1734,875,0.5046136101499423,0,0,0,0,0,7,2,1,2,2
25025000102,84044.0,3979,1869,0.4697160090474994,1,0,0,1,0,52,21,17,4,10
25025000201,111477.0,4375,2506,0.5728,0,0,0,0,0,9,3,6,0,0
25025000202,84792.0,3892,1646,0.4229188078108941,0,0,0,0,0,16,4,6,6,0
25025000301,133051.0,2719,1310,0.4817947774917249,0,0,0,0,0,9,4,4,0,1
25025000302,115500.0,3231,1720,0.5323429278861034,0,0,0,0,0,10,4,6,0,0
25025000401,74686.0,4898,2763,0.5641077991016742,1,0,0,1,0,10,3,6,0,1
25025000402,110147.0,3795,1719,0.4529644268774703,0,0,0,0,0,16,5,8,2,1
25025000502,88125.0,5382,1487,0.2762913415087328,11,0,4,7,1,28,6,18,2,2
25025000503,86250.0,2099,1248,0.5945688423058599,6,0,5,1,1,4,2,2,0,0
25025000505,58785.0,2117,947,0.4473311289560699,4,0,2,2,1,3,3,0,0,0
25025000506,74286.0,2513,1250,0.4974134500596896,2,0,1,1,1,9,3,4,2,0
25025000601,105956.0,4000,1616,0.404,0,0,0,0,0,21,2,16,0,3
25025000603,24450.0,1650,436,0.2642424242424242,2,0,0,2,0,8,2,2,2,2
25025000604,52155.0,2347,900,0.3834682573498083,0,0,0,0,0,19,14,4,0,1
25025000701,78110.0,4349,2969,0.6826856748677858,5,0,4,1,1,16,9,3,1,3
25025000703,44891.0,1701,785,0.461493239271017,6,0,3,3,1,82,32,35,0,15
25025000704,80067.0,4192,2516,0.6001908396946565,6,0,3,3,1,70,28,25,2,15
25025000804,100938.0,3224,1473,0.4568858560794044,0,0,0,0,0,64,30,17,0,17
25025000805,69556.0,3095,1315,0.4248788368336025,1,0,0,1,0,102,44,47,2,9
25025000806,74591.0,2390,1389,0.5811715481171548,0,0,0,0,0,8,2,2,1,3
25025000807,,3079,44,0.0142903540110425,5,0,4,1,1,16,5,7,1,3
25025010103,39886.0,3397,409,0.1204003532528701,13,0,6,7,1,35,10,21,0,4
25025010104,63594.0,4791,1290,0.269254852849092,9,0,4,5,1,37,13,17,3,4
25025010204,58438.0,3354,757,0.225700655933214,6,0,2,4,1,22,3,10,3,6
25025010205,72105.0,4036,2729,0.6761645193260654,0,0,0,0,0,57,18,31,6,2
25025010206,64141.0,2218,1279,0.5766456266907124,0,0,0,0,0,24,6,15,1,2
25025010300,69861.0,4769,324,0.067938771230866,3,0,0,3,0,16,2,9,0,5
25025010403,36928.0,2665,1000,0.3752345215759849,0,0,0,0,0,43,14,23,5,1
25025010404,34931.0,4585,610,0.1330425299890948,2,0,0,2,0,24,6,14,2,2
25025010405,20000.0,5921,503,0.084951866238811,15,4,6,5,1,30,7,21,0,2
25025010408,75372.0,1349,758,0.5618977020014826,0,0,0,0,0,0,0,0,0,0
25025010500,54020.0,3330,1263,0.3792792792792793,2,0,0,2,0,29,16,8,0,5
25025010600,98472.0,3174,1349,0.4250157529930687,7,0,3,4,1,108,57,37,6,8
25025010701,143077.0,2314,1062,0.4589455488331893,4,0,2,2,1,212,128,56,5,23
25025010702,160057.0,2084,728,0.3493282149712092,9,0,3,6,1,236,153,32,19,32
25025010801,160000.0,2730,1058,0.3875457875457875,0,0,0,0,0,1,0,0,1,0
25025010802,146797.0,3316,1542,0.4650180940892642,2,0,0,2,0,6,3,1,0,2
25025020101,186477.0,4041,1508,0.3731749566938876,0,0,0,0,0,72,45,13,2,12
25025020200,111622.0,3132,1861,0.5941890166028098,1,0,0,1,0,32,15,14,2,1
25025020301,106593.0,2356,1363,0.5785229202037352,3,2,0,1,1,19,9,5,1,4
